Fecha,Alc. total (mg/l),Ca++ (mg/l),Cl- (mg/l),Cond (µS/cm),Dureza (mg/l),K+ (mg/l),Mg++ (mg/l),Na+ (mg/l),S (ppt),SO4 (mg/l),STD (mg/l),CHL_A (µg/l),C. Totales (NMP/100ml),DBO5 (mg/l),E. coli (NMP/100ml),MC (µg/l),TOC (mg/l),N-NO2 (mg/l),N-NO3 (mg/l),P-PO4 (mg/l),OD (mg/l),ODPCT (% sat),pH (Unidades de pH),Temp (°C),STS (mg/l),Transp (m),Turb (NTU),ICA
16/01/2019,28,6.64,85.6,366,44.2,5.09,6.69,47.64,0.18,14,240,4.9,100,2,1,0.002,0.02,0.002,0.022,0.02,8.17,105,7.53,28.1,10,3,0.6,91
16/01/2019,28,6.56,84.2,362,46.8,5.73,7.38,47.82,0.18,13.3,240,,200,2,1,0.002,0.02,0.002,0.023,0.02,7.89,101,7.45,28,10,,0.7,91
19/02/2019,30,8.19,89.9,405,53.7,6.02,8.06,57.18,0.2,13.6,210,4.6,380,2,1,0.002,0.02,0.002,0.025,0.037,8.47,107,7.8,27.3,10,3.5,0.9,90
19/02/2019,30,8.19,95,408,52.6,5.95,7.81,55.35,0.2,14.1,240,,220,2,1,0.002,0.02,0.002,0.012,0.02,8.45,107,7.69,27.2,10,,0.6,90
20/03/2019,30,8.09,124,443,56.1,2.92,8.72,58.43,0.22,12.1,244,5,110,2,1,0.002,0.02,0.002,0.03,0.02,7.39,96,7.65,28.1,10,3.5,0.9,91
20/03/2019,31,8.19,125,458,58.7,2.9,9.29,59.97,0.23,12.7,264,,100,2,1,0.002,0.02,0.002,0.011,0.02,7,90,7.52,27.9,10,,0.9,90
15/04/2019,30,7.61,124.5,583,52.9,5.11,8.24,70.48,0.26,15.3,291,4.8,6500,2,1,0.002,0.02,0.002,0.023,0.02,7.35,94,7.37,28.8,10,2.5,0.8,90
15/04/2019,30,7.44,121,571,54,4.42,8.6,67.31,0.25,15.3,283,,2400,2,1,0.002,0.02,0.002,0.012,0.02,7.55,96,7.42,28.8,10,,0.8,85
21/05/2019,29,7.17,185,621,64.9,3.22,8.95,65.87,0.25,16.6,327,3.5,470,2,1,0.002,0.02,0.002,0.014,0.02,7.3,98,7.58,30.1,10,2.8,0.8,90
21/05/2019,31,8.16,151.5,575,69.4,3.96,11.91,82.47,0.32,19.3,403,,350,2,1,0.002,0.02,0.002,0.011,0.02,5.44,73,7,29.7,10,,1.7,85
18/06/2019,31,6.92,173,621,77.7,4.15,11.57,94.18,0.32,15.3,343,6,570,2,10,0.002,0.02,0.002,0.031,0.02,6.76,88,7.5,30.6,10,3,0.9,89
18/06/2019,31,7.14,175,612,65,4.02,11.46,86.6,0.31,17.8,421,,430,2,1,0.002,0.02,0.002,0.019,0.02,6.33,82,7.32,30.2,10,,1,87
16/07/2019,31,9.21,147,530,57.4,4.36,11.57,98.01,0.34,15.5,308,4.5,2900,2,10,0.002,0.02,0.002,0.031,0.02,7.28,95,7.68,29.8,10,2.5,1.2,89
16/07/2019,31,9.19,175.5,646,77.8,4.05,13.33,97.82,0.33,22.6,442,,2800,2,1,0.002,0.02,0.002,0.028,0.02,7.08,93,7.61,29.3,10,,1.1,88
13/08/2019,32,9.46,170,525,57.4,4.73,13.21,97.43,0.36,15.4,309,4.2,1100,2,10,0.002,0.02,0.002,0.028,0.02,7.52,99,7.7,29.7,10,3,1.1,89
13/08/2019,32,9,162.5,689,74.1,3.84,12.55,93.17,0.35,18.3,437,,1200,2,1,0.002,0.02,0.002,0.024,0.02,7.12,94,7.53,29.6,10,,0.9,88
18/09/2019,30,7.74,200.5,696,77.7,4.73,12.39,98.97,0.36,15.7,342,4.5,2600,2,1,0.002,0.02,0.002,0.026,0.02,7.39,95,7.5,29.6,10,3,1.1,89
18/09/2019,31,8.39,237,742,75.5,3.97,13.26,106.4,0.38,31,443,,3700,2,1,0.002,0.02,0.002,0.025,0.02,6.56,86,7.42,29.2,10,,1.2,87
28/10/2019,35,8.82,173.5,597,73.5,4.5,14.16,91.39,0.39,20.4,353,5,100,2,1,0.002,0.02,0.002,0.064,0.02,8.39,101,7.91,23.7,10,3,0.5,88
28/10/2019,34,8.84,232.5,783,80.9,5.17,14.22,118.1,0.41,23.6,521,,250,2,1,0.002,0.02,0.002,0.214,0.02,7.01,70,7.55,29.2,10,,1.4,84
20/11/2019,33,7.72,265,819,78.7,4.85,11.07,103.7,0.44,24.5,461,7,520,2,1,0.002,0.02,0.002,,,,,,,,,,
20/11/2019,33,7.66,171.5,634,66.3,4.33,11.45,90.99,0.33,20.5,439,,810,2,1,0.002,0.02,0.002,0.025,0.02,5.36,70,7.75,28.9,10,,0.7,84
30/12/2019,35,8.91,354,890,84,0.19,14.99,114.2,0,,,,,,,,,,,,,,,,,,,
08/01/2020,32,8.6,218,836,78.9,4.72,9.37,101.9,0.38,25.9,498,7,710,2,1,0.002,0.02,0.002,0.02,0.02,6.02,78,8.05,28.7,10,,0.8,86
28/01/2020,31,8.47,218,727,78.2,4.84,9.88,100.7,0.38,27.6,484,4.7,100,2,1,,,0.002,0.028,0.02,7.51,99,8.11,29.4,10,4,0.6,87
18/02/2020,32,8.6,175,742,76.2,5.05,9.39,102.5,0.31,28.5,445,5.1,150,2,1,,,0.002,0.015,0.02,7.56,98,8.07,28.5,10,3.2,1,90
18/02/2020,34,8.52,167,742,76.2,4.05,9.35,101.9,0.38,27.5,444,7,150,2,1,0.002,0.02,0.002,0.015,0.02,7.48,97,8.02,28.4,10,,0.8,88
17/03/2020,32,9.14,227,792,76.2,5.06,9.88,121.48,0.41,20.2,424,6.2,110,2,1,,,0.002,0.018,0.02,7.61,97,7.79,28.3,10,3,0.8,88
17/03/2020,31,8.52,234,599,75.1,4.86,9.2,122.28,0.31,49,452,6.2,110,2,1,0.002,0.02,0.002,0.018,0.02,7.4,97,7.81,27,10,,0.8,88
07/04/2020,32,9.75,195,859,83.6,4.86,10,121.96,0.46,34,444,5.3,180,2,1,,,0.002,0.025,0.02,7.55,99,8.06,29.1,10,2.5,0.7,86
07/04/2020,32,9.94,226,858,83.6,4.95,10,121.96,0.41,49,470,6.2,180,2,1,0.002,0.02,0.002,0.018,0.02,7.2,97,8.18,28.9,10,,0.8,85
05/05/2020,31,10.38,278,872,91.5,5.09,11.13,132.28,0.48,34,486,2.1,200,2,1,,,0.002,0.025,0.02,7.42,99,7.92,29.6,10,3,0.8,86
05/05/2020,32,10.13,290,1017,92.6,5.21,11,133.02,0.48,35.3,480,180,180,2,1,0.002,0.02,0.002,0.028,0.02,6.58,50,7.35,29.4,10,,0.8,87
09/06/2020,32,9.28,244,918,93.4,5.05,11.03,129.92,0.48,34,332,8.1,610,2,10,,,0.002,0.028,0.02,7.24,103,8.24,30.5,10,3,0.7,88
09/06/2020,32,11.21,310,1184,120.7,5.3,13,163.02,0.51,31.7,200,430,430,2,1,0.002,0.02,0.002,0.054,0.02,8.68,87,7.61,29.4,10,,0.8,86
07/07/2020,32,9.83,300,1019,96.3,5.39,11.28,165.8,0.51,37.4,546,8.6,570,2,10,,,0.002,0.027,0.02,7.42,97,7.78,29.7,10,3,0.7,88
07/07/2020,32,11.12,304,1024,103.9,5.39,13,156.1,0.54,35.8,530,810,810,2,10,0.002,0.02,0.002,0.025,0.02,8.51,97,7.48,29.5,10,,0.7,86
11/08/2020,32,9.53,279,975,93.2,5.32,11.1,133.02,0.48,34,502,4.7,610,2,10,,,0.002,0.025,0.02,7.24,99,7.83,29.8,10,2.5,0.6,88
11/08/2020,32,9.5,284,954,94.9,5.4,11,134.14,0.51,38.1,498,250,250,2,10,0.002,0.02,0.002,0.027,0.02,6.53,50,7.35,29.4,10,,0.7,88
08/09/2020,32,9.74,237,885,89.7,5.14,10.92,136.42,0.46,31.2,532,5.8,200,2,1,,,0.002,0.034,0.02,7.46,100,7.66,30,10,3.5,0.7,87
08/09/2020,32,9.74,240,885,91.3,5.03,10.9,136.24,0.46,31.7,502,270,270,2,10,0.002,0.02,0.002,0.025,0.02,6.58,94,7.39,29.4,10,,0.7,88
13/10/2020,33,9.74,237,885,89.7,5.14,10.92,136.42,0.46,31.2,532,5.8,200,2,1,,,0.002,0.038,0.02,6.92,93,7.51,30.4,10,3.5,0.5,87
13/10/2020,33,10.64,253,832,91.1,5.3,10.6,135.84,0.43,26.2,412,270,270,2,1,0.002,0.02,0.002,0.031,0.02,7.15,58,7.72,29.2,10,,0.7,88
11/11/2020,32,9.86,215,758,78.4,5.12,10.41,124.3,0.33,22.7,368,5.1,570,2,1,,,0.002,0.031,0.02,7.55,103,7.84,30.4,10,3.5,0.6,86
09/12/2020,32,8.84,228,776,78,4.51,13.61,103.72,0.4,27,346,5,740,2,63,,,0.002,0.026,0.02,7.39,97,7.59,28.6,10,3,0.7,86
09/12/2020,32,9.56,236,797,77.2,4.51,10,106.04,0.41,26.3,366,1200,1200,2,1,0.002,0.02,0.002,0.025,0.02,6.38,83,7.24,28.5,10,,0.8,87
12/01/2021,32,7.83,191,739,68.9,4.37,12,102,0.38,25.1,326,5,400,2,10,0.002,3,0.002,0.03,0.02,7.96,104,7.75,28.6,10,3,0.7,90
12/01/2021,31,7.49,178,736,68.6,4.34,11.6,101,0.38,24.4,334,4.6,280,2,10,0.002,3,0.002,0.026,0.02,7.81,102,7.69,28.5,10,,0.8,90
10/02/2021,32,8.03,178,679,67.9,4.08,11.6,96.5,0.35,25.6,388,6.1,120,2,10,0.002,3,0.002,0.032,0.02,7.25,94,7.76,28.4,10,3,0.9,88
10/02/2021,32,8,184,686,66,3.94,11.4,98.1,0.35,24.3,338,6.1,430,2,10,0.002,3,0.002,0.031,0.02,7.03,92,7.74,28.3,10,,1,88
09/03/2021,33,8.7,186,691,70.8,4.11,11.4,95.4,0.37,24.3,349,6.6,290,2,10,0.002,3,0.002,0.031,0.02,7.33,95,7.6,28.6,10,3,0.8,89
